,data
631213,41.551
647339,32.836
647340,43.042
647341,51.18
647342,57.164
647467,35.775
647468,46.47
647469,55.155
647470,59.691
647471,61.705
647472,59.925
647595,35.981
647596,46.065
647597,53.765
647598,57.733
647599,58.906
647600,57.746
647724,42.458
647725,48.01
647726,51.386
647727,52.47
663596,52.635
663597,60.159
663598,63.709
663599,64.827
663600,63.691
663722,35.225
663723,46.827
663724,58.814
663725,66.335
663726,69.251
663727,69.279
663728,67.388
663850,37.74
663851,49.201
663852,60.464
663853,67.984
663854,70.978
663855,72.057
663856,70.209
663857,65.542
663858,61.237
663978,38.109
663979,48.225
663980,57.574
663981,65.385
663982,69.251
663983,70.449
663984,68.975
663985,64.651
663986,59.16
664106,34.984
664107,43.184
664108,51.78
664109,58.338
664110,62.556
664111,63.757
664112,62.281
664113,58.592
664236,42.764
664237,48.257
664238,51.696
664239,52.842
664240,52.416
679855,66.859
679856,66.341
679857,64.569
679979,53.69
679980,63.981
679981,69.677
679982,71.591
679983,71.533
679984,69.583
679985,67.054
679986,65.15
679987,63.172
679994,59.774
679995,60.077
680106,49.275
680107,59.981
680108,69.251
680109,74.003
680110,74.745
680111,74.333
680112,73.072
680113,70.475
680114,67.568
680115,65.367
680116,63.643
680117,61.654
680121,60.163
680122,60.676
680123,61.244
680124,60.383
680125,58.443
680233,39.752
680234,50.748
680235,61.143
680236,69.251
680237,74.213
680238,75.558
680239,75.786
680240,74.801
680241,72.114
680242,68.471
680243,65.39
680244,62.438
680250,59.453
680251,59.909
680252,59.577
680253,58.242
680362,48.064
680363,57.389
680364,65.394
680365,70.729
680366,73.348
680367,74.069
680368,72.519
680369,69.251
680370,65.56
680371,62.674
680378,58.391
680379,58.534
680380,57.788
680381,56.509
680490,42.82
680491,50.798
680492,59.059
680493,65.368
680494,69.356
680495,69.891
680496,68.353
680497,64.609
680498,61.24
680506,56.477
680507,56.455
680619,41.313
680620,49.49
680621,56.382
680622,60.268
680623,62.198
680624,61.291
680625,58.277
680626,55.1
680751,49.968
680752,50.429
696112,67.992
696113,67.31
696114,65.446
696119,63.964
696120,64.813
696121,65.19
696122,65.323
696123,65.526
696124,65.478
696125,64.917
696126,63.393
696132,46.006
696133,45.279
696134,44.839
696135,44.675
696136,43.905
696143,11.213
696144,10.585
696145,10.284
696146,10.105
696238,70.932
696239,71.897
696240,71.831
696241,69.905
696242,68.018
696243,67.039
696244,66.739
696245,66.71
696246,66.738
696247,67.067
696248,67.331
696249,67.818
696250,68.083
696251,68.276
696252,67.994
696253,66.365
696254,63.907
696259,50.618
696260,49.219
696261,48.897
696262,48.611
696263,47.884
696264,47.023
696265,44.895
696266,41.407
696269,21.758
696270,15.025
696271,11.751
696272,10.92
696273,10.646
696274,10.564
696275,10.289
696362,54.646
696363,63.321
696364,70.274
696365,73.345
696366,73.755
696367,74.052
696368,73.097
696369,71.51
696370,69.995
696371,69.011
696372,68.413
696373,68.433
696374,68.248
696375,68.622
696376,68.686
696377,69.394
696378,70.198
696379,70.286
696380,69.055
696381,67.036
696382,64.016
696384,57.397
696385,55.342
696386,53.473
696387,52.363
696388,51.141
696389,50.185
696390,50.081
696391,49.574
696392,48.743
696393,46.305
696394,42.873
696395,38.948
696396,33.107
696397,25.038
696398,18.244
696399,14.787
696400,13.91
696401,13.479
696402,13.289
696403,13.106
696404,12.754
696488,42.624
696489,51.478
696490,60.712
696491,68.412
696492,73.591
696493,75.535
696494,75.381
696495,75.191
696496,74.512
696497,73.14
696498,71.306
696499,70.572
696500,70.322
696501,69.251
696502,68.841
696503,68.905
696504,68.531
696505,69.423
696506,69.967
696507,69.948
696508,69.25
696509,67.361
696510,64.303
696512,58.432
696513,56.148
696514,54.817
696515,53.987
696516,52.266
696517,51.877
696518,51.224
696519,50.334
696520,49.705
696521,47.734
696522,45.24
696523,41.703
696524,36.332
696525,28.658
696526,22.074
696527,18.798
696528,17.816
696529,17.658
696530,17.19
696531,16.677
696532,16.307
696616,46.687
696617,54.607
696618,61.884
696619,68.723
696620,73.837
696621,75.747
696622,76.102
696623,75.982
696624,75.293
696625,73.763
696626,72.119
696627,70.966
696628,70.506
696629,69.675
696630,68.728
696631,68.33
696632,68.595
696633,69.313
696634,69.578
696635,70.031
696636,69.251
696637,67.066
696638,63.941
696640,58.576
696641,57.083
696642,55.737
696643,54.561
696644,53.191
696645,51.786
696646,51.237
696647,50.601
696648,50.016
696649,48.391
696650,47.103
696651,44.541
696652,39.83
696653,32.327
696654,25.981
696655,22.767
696656,21.565
696657,21.615
696658,21.105
696659,20.66
696660,19.955
696744,43.883
696745,50.575
696746,56.993
696747,63.741
696748,69.844
696749,73.006
696750,74.731
696751,74.274
696752,73.402
696753,70.778
696754,69.515
696755,68.691
696756,68.214
696757,67.903
696758,67.382
696759,67.59
696760,67.692
696761,68.564
696762,69.251
696763,69.091
696764,67.879
696765,65.834
696766,62.895
696768,57.631
696769,56.035
696770,54.721
696771,53.462
696772,52.37
696773,51.566
696774,51.163
696775,50.541
696776,49.589
696777,48.937
696778,47.068
696779,45.317
696780,41.17
696781,34.36
696782,28.008
696783,25.027
696784,23.825
696785,23.529
696786,23.025
696787,22.281
696875,55.056
696876,63.281
696877,69.251
696878,72.198
696879,72.508
696880,70.283
696881,66.941
696882,64.443
696883,63.422
696884,63.456
696885,63.861
696886,64.745
696887,65.694
696888,66.496
696889,67.096
696890,67.794
696891,67.564
696892,66.147
696893,63.729
696894,61.239
696896,56.848
696897,55.114
696898,53.582
696899,52.185
696900,51.214
696901,50.444
696902,50.055
696903,49.661
696908,40.368
696909,33.996
696910,28.077
696911,25.035
696912,23.989
696913,23.704
696914,22.895
697004,55.218
697005,62.753
697006,66.219
697007,67.197
697008,65.481
697009,62.426
697010,59.91
697011,58.142
697015,59.665
697016,60.412
697017,61.396
697018,62.28
697019,62.867
697020,61.759
697021,59.655
