,data
581270,871.0
597524,1002.0
597525,1011.0
597526,1038.0
597527,1030.0
597528,1052.0
597652,1000.0
597653,1009.0
597654,1067.0
597655,1057.0
597656,1041.0
597657,986.0
597781,1012.0
597782,1017.0
597783,1005.0
597784,884.0
613677,937.0
613679,884.0
613780,1030.0
613781,1012.0
613782,1008.0
613783,1030.0
613804,1036.0
613805,1046.0
613806,1047.0
613807,1052.0
613808,1041.0
613906,928.0
613907,975.0
613908,1050.0
613909,1054.0
613910,1021.0
613911,873.0
613912,641.0
613914,926.0
613921,1030.0
613924,1060.0
613925,982.0
613926,814.0
613930,918.0
613931,1047.0
613932,1044.0
613933,1020.0
613934,1010.0
613935,1013.0
613936,1020.0
613937,981.0
614034,802.0
614035,965.0
614036,1011.0
614037,756.0
614038,722.0
614039,713.0
614040,808.0
614041,953.0
614042,979.0
614049,1040.0
614050,859.0
614051,893.0
614052,1046.0
614053,1020.0
614058,945.0
614059,1018.0
614060,1012.0
614061,1019.0
614062,1001.0
614063,986.0
614064,1027.0
614065,974.0
614163,825.0
614164,1020.0
614165,1013.0
614166,869.0
614167,716.0
614168,111.0
614169,5.0
614175,836.0
614176,1006.0
614177,1021.0
614179,913.0
614180,1050.0
614181,986.0
614182,808.0
614186,978.0
614187,1042.0
614188,1035.0
614189,1015.0
614190,989.0
614191,1003.0
614192,1036.0
614193,957.0
614294,988.0
614295,982.0
614296,305.0
614308,837.0
614315,966.0
614316,1049.0
614317,1035.0
614318,1016.0
614319,1032.0
614320,1036.0
614321,802.0
614441,821.0
614444,881.0
614445,1031.0
614446,1054.0
614447,978.0
614572,717.0
614573,876.0
629933,1045.0
629934,1051.0
629935,1019.0
630038,1002.0
630039,1013.0
630040,933.0
630046,1062.0
630047,1050.0
630048,1038.0
630049,1045.0
630050,960.0
630052,1041.0
630053,1039.0
630054,993.0
630059,1047.0
630060,1041.0
630061,1012.0
630062,991.0
630063,990.0
630064,1026.0
630065,1036.0
630162,898.0
630163,978.0
630164,994.0
630165,1008.0
630166,1018.0
630167,772.0
630168,59.0
630169,186.0
630172,1032.0
630173,1035.0
630174,1027.0
630175,1026.0
630176,1038.0
630177,1060.0
630178,1055.0
630179,1075.0
630180,1067.0
630181,1038.0
630182,1008.0
630183,1008.0
630184,999.0
630186,1018.0
630187,999.0
630188,993.0
630189,1004.0
630190,1008.0
630191,1018.0
