,data
712508,28.788
712509,27.547
712635,28.925
712636,27.675
712637,27.004
712763,28.595
712764,27.524
712765,27.133
712766,26.24
712891,27.87
712892,27.316
712893,27.007
713019,27.653
713020,27.071
713021,26.892
728636,31.307
728637,30.221
728763,33.268
728764,31.813
728765,30.728
728766,29.042
728884,28.446
728885,27.592
728886,27.985
728891,32.775
728892,31.557
728893,30.372
728894,28.815
729001,2.241
729002,6.143
729003,11.712
729004,16.386
729005,20.721
729011,29.094
729012,28.424
729013,28.459
729014,28.992
729015,28.87
729018,30.722
729019,31.438
729020,31.32
729021,30.175
729022,28.35
729023,26.447
729025,24.703
729026,24.107
729027,23.823
729128,0.672
729129,2.518
729130,6.787
729131,11.76
729132,16.041
729133,19.406
729139,28.05
729140,27.619
729142,28.432
729143,28.428
729146,29.964
729147,30.853
729148,30.757
729149,29.759
729150,28.263
729151,26.263
729152,25.053
729153,24.627
729154,24.175
729155,23.702
729156,23.166
729157,22.02
729257,2.337
729258,6.17
729259,10.7
729260,13.289
729261,14.989
729267,26.847
729268,26.444
729270,26.532
729271,27.306
729273,28.767
729274,29.432
729275,30.198
729276,30.43
729277,29.655
729278,27.982
729279,26.14
729280,24.982
729281,24.773
729282,24.686
729283,24.386
729284,23.886
729285,22.573
729388,11.808
729395,25.761
729396,25.791
729398,26.061
729401,28.405
729402,29.28
729403,30.552
729404,29.796
729405,28.923
729406,27.801
729407,26.198
729408,25.26
729409,25.356
729410,25.349
729411,25.43
729412,25.428
729413,24.859
729524,25.469
729526,26.611
729529,28.496
729530,29.25
729531,30.122
729532,29.74
729533,29.317
729534,28.258
729535,26.787
729536,26.283
729537,26.198
729538,26.119
729539,26.581
729654,26.699
729658,28.882
729659,29.253
729660,29.203
729661,29.045
744892,32.96
745013,30.296
745014,31.337
745015,32.698
745019,34.552
745020,33.412
745021,31.621
745022,30.693
745023,30.625
745139,29.598
745140,30.534
745141,30.844
745142,30.801
745146,34.887
745147,35.034
745148,33.967
745149,32.662
745150,31.107
745151,29.743
745152,28.79
745153,28.993
745154,28.098
745155,27.29
745156,26.89
745157,26.559
745258,4.213
745259,8.359
745260,12.78
745261,17.616
745267,30.831
745268,30.834
745269,30.911
745270,30.721
745271,31.343
745274,34.545
745275,34.335
745276,33.792
745277,33.137
745278,31.583
745279,29.353
745280,28.257
745281,27.717
745282,27.15
745283,26.384
745284,25.446
745285,24.592
745286,23.696
745384,0.582
745385,2.079
745386,6.248
745387,11.876
745388,17.196
745389,21.546
745390,26.825
745394,31.823
745395,31.166
745396,31.256
745397,31.653
745398,31.566
745399,31.972
745400,32.316
745401,31.939
745402,32.7
745403,33.781
745404,33.53
745405,32.86
745406,31.398
