,data
549032,929.0
549160,961.0
565045,10.0
565046,14.0
565173,3.0
565174,7.0
565177,1.0
565296,5.0
565297,32.0
565298,20.0
565299,1.0
565301,6.0
565302,14.0
565416,1105.0
565424,8.0
565425,35.0
565430,13.0
565433,3.0
565544,1015.0
565552,7.0
565553,30.0
565558,5.0
565563,1.0
565680,1.0
565681,1.0
565682,15.0
565683,5.0
565686,9.0
565689,1.0
565690,3.0
565808,7.0
565809,7.0
565811,2.0
565814,14.0
565815,1.0
565818,5.0
565819,1.0
565936,1.0
565937,15.0
565939,5.0
565942,7.0
565946,2.0
565947,2.0
566070,12.0
566071,4.0
581298,23.0
581299,4.0
581300,4.0
581301,18.0
581302,7.0
581305,10.0
581306,5.0
581423,5.0
581424,2.0
581426,18.0
581427,8.0
581429,13.0
581430,11.0
581433,8.0
581434,2.0
581435,1.0
581436,3.0
581551,7.0
581552,13.0
581554,9.0
581555,11.0
581557,10.0
581558,14.0
581561,7.0
581562,4.0
581677,10.0
581680,6.0
581681,34.0
581682,23.0
581685,2.0
581686,18.0
581689,4.0
581800,1138.0
581805,8.0
581808,12.0
581809,79.0
581810,25.0
581813,3.0
581814,20.0
581817,1.0
581818,1.0
581819,1.0
581821,2.0
581822,3.0
581928,1014.0
581933,10.0
581935,5.0
581936,13.0
581939,7.0
581942,16.0
581949,2.0
581950,2.0
582061,17.0
582062,8.0
582064,5.0
582065,34.0
582067,7.0
582068,6.0
582070,14.0
582073,4.0
582074,5.0
582075,2.0
582189,19.0
582190,2.0
582191,1.0
582192,13.0
582193,16.0
582195,18.0
582198,11.0
582199,5.0
582201,3.0
582202,5.0
582317,10.0
582318,3.0
582319,5.0
582320,12.0
582321,13.0
582323,3.0
582326,15.0
582327,7.0
582332,1.0
582333,3.0
582334,5.0
582446,4.0
582448,4.0
582449,4.0
582450,3.0
582451,3.0
582454,11.0
582455,6.0
582460,1.0
582461,3.0
582577,2.0
582578,2.0
582582,10.0
582583,4.0
582586,4.0
582710,4.0
582711,7.0
597429,13.0
597430,2.0
597551,8.0
597552,7.0
597557,9.0
597561,1.0
597680,5.0
597685,5.0
597686,2.0
597805,2.0
597808,12.0
597811,8.0
597813,13.0
597814,5.0
597932,1.0
597935,18.0
597936,45.0
597939,31.0
597941,8.0
597942,17.0
597945,4.0
597946,2.0
598059,12.0
598060,10.0
598062,93.0
598063,245.0
598064,250.0
598065,578.0
598066,2271.0
598067,20.0
598069,15.0
598070,30.0
598073,4.0
598074,4.0
598077,1.0
598078,1.0
598080,3.0
598184,985.0
598187,6.0
598189,257.0
598190,254.0
598191,487.0
598192,204.0
598193,554.0
598196,5.0
598197,4.0
598198,38.0
598201,9.0
598202,5.0
598206,3.0
598207,2.0
598312,1050.0
598315,22.0
598316,54.0
598317,17.0
598318,401.0
598319,451.0
598320,690.0
598321,350.0
598322,231.0
598323,149.0
598324,15.0
598325,8.0
598326,28.0
598330,2.0
598443,7.0
598445,242.0
598446,462.0
598447,683.0
598448,548.0
598449,646.0
598450,331.0
598451,5.0
598453,14.0
598454,27.0
598458,8.0
598461,4.0
598462,4.0
598571,3.0
598572,19.0
598573,23.0
598575,169.0
598576,162.0
598577,80.0
598579,15.0
598580,5.0
598582,23.0
598583,5.0
598589,1.0
598700,7.0
598701,12.0
598702,5.0
598703,23.0
598705,34.0
598707,14.0
598710,21.0
598711,8.0
598714,6.0
598715,2.0
598719,1.0
598829,3.0
598830,16.0
598831,5.0
598833,10.0
598834,2.0
598838,11.0
598839,7.0
598847,3.0
598957,8.0
598958,7.0
598959,5.0
598960,6.0
598961,11.0
598966,10.0
598967,9.0
598970,1.0
598971,1.0
598973,2.0
598974,1.0
599086,11.0
599087,2.0
599089,7.0
599090,7.0
599091,3.0
599094,3.0
599095,3.0
599101,5.0
599219,7.0
599220,3.0
599222,3.0
599225,1.0
599226,3.0
613683,2.0
613684,6.0
613685,11.0
613689,3.0
613807,14.0
613808,6.0
613813,13.0
613816,2.0
613817,5.0
613935,18.0
613936,4.0
613941,11.0
613945,1.0
614060,2.0
614063,26.0
614065,6.0
614068,4.0
614069,13.0
614073,7.0
614187,18.0
614190,14.0
614193,60.0
614195,4.0
614196,6.0
614197,22.0
614201,1.0
614202,4.0
614205,2.0
614206,2.0
614314,3.0
614316,85.0
614317,513.0
614318,649.0
614319,837.0
614320,375.0
614321,604.0
614322,339.0
614323,448.0
614324,42.0
614325,33.0
614326,15.0
614329,10.0
614330,5.0
614331,2.0
614332,1.0
614333,6.0
614334,3.0
614442,226.0
614443,245.0
614444,865.0
614445,469.0
614447,56.0
614448,27.0
614449,135.0
614450,191.0
614451,265.0
614452,385.0
614453,20.0
614454,44.0
614457,4.0
614458,4.0
614459,1.0
614461,3.0
614463,1.0
614568,1069.0
614570,424.0
614571,768.0
614572,415.0
614573,2.0
614574,24.0
614576,37.0
614578,82.0
614579,126.0
614580,460.0
614581,248.0
614582,42.0
614585,2.0
614586,2.0
614594,2.0
614686,845.0
614687,827.0
614688,935.0
614689,762.0
614696,1127.0
614698,427.0
614699,359.0
614700,261.0
614701,2.0
614703,14.0
614704,18.0
614707,155.0
614708,636.0
614709,146.0
614710,84.0
614711,2.0
614814,126.0
614815,787.0
614816,970.0
614817,900.0
614818,349.0
614826,355.0
614827,453.0
614828,340.0
614829,82.0
614831,10.0
614832,50.0
614834,20.0
614835,384.0
614836,712.0
614837,152.0
614838,53.0
614839,4.0
614842,4.0
614845,3.0
614849,1.0
614850,5.0
614944,803.0
614945,357.0
614954,33.0
614955,309.0
614956,760.0
614957,258.0
614958,81.0
614961,69.0
614962,365.0
614963,791.0
614964,123.0
614965,7.0
614966,23.0
614967,11.0
614970,4.0
614972,1.0
614973,2.0
614977,4.0
615083,35.0
615084,219.0
615085,119.0
615086,535.0
615087,297.0
615088,469.0
615089,298.0
615090,662.0
615093,7.0
615094,24.0
615095,20.0
615098,4.0
615099,4.0
615100,4.0
615101,3.0
615102,5.0
615105,2.0
615211,5.0
615214,15.0
615215,73.0
615216,87.0
615217,31.0
615219,7.0
615220,17.0
615222,10.0
615223,14.0
615226,6.0
615227,1.0
615230,2.0
615339,5.0
615340,18.0
615341,10.0
615342,8.0
615343,20.0
615344,8.0
615345,16.0
615346,12.0
615347,4.0
615348,2.0
615350,3.0
615351,10.0
615354,2.0
615469,9.0
615470,8.0
615471,5.0
615473,15.0
615474,8.0
615475,2.0
615476,1.0
615478,1.0
615479,8.0
615482,2.0
615483,3.0
615486,3.0
615598,10.0
615599,3.0
615601,6.0
615604,2.0
615606,1.0
615607,5.0
615610,3.0
615729,1.0
615731,2.0
615735,11.0
615738,4.0
615739,1.0
615863,8.0
629937,1.0
629938,10.0
629939,5.0
629940,6.0
629941,9.0
629944,2.0
629945,4.0
630063,6.0
630064,1.0
630068,2.0
630069,13.0
630072,1.0
630073,4.0
630189,7.0
630191,6.0
630192,9.0
630197,8.0
630317,14.0
630319,15.0
630320,27.0
630324,8.0
630325,17.0
630329,3.0
630444,64.0
630445,33.0
630446,151.0
630447,142.0
630448,91.0
630450,34.0
630451,1.0
630452,10.0
630453,23.0
630457,3.0
630461,1.0
630462,1.0
630570,180.0
630571,323.0
630572,369.0
630573,151.0
630574,162.0
630575,76.0
630576,172.0
630577,369.0
630578,452.0
630579,439.0
630580,35.0
630581,22.0
