,data
515997,1.139
515998,2.197
516123,0.16
516124,0.451
516125,1.126
516126,2.064
516127,3.133
516128,4.113
516138,18.973
516141,21.003
516142,20.891
516251,0.155
516252,0.407
516253,1.1
516254,1.993
516255,2.861
516256,3.561
516269,21.059
516380,0.443
516381,1.053
516382,1.907
516383,2.717
532379,0.177
532380,0.51
532381,1.258
532382,2.388
532383,3.602
532505,0.022
532506,0.04
532507,0.186
532508,0.499
532509,1.292
532510,2.508
532511,3.818
532512,4.712
532522,21.067
532525,22.796
532526,22.566
532633,0.032
532634,0.06
532635,0.167
532636,0.455
532637,1.124
532638,2.169
532639,3.242
532640,3.958
532650,20.595
532653,22.346
532654,22.018
532762,0.078
532763,0.148
532764,0.403
532765,1.021
532766,1.923
532767,2.8
548638,2.178
548762,0.025
548763,0.174
548764,0.468
548765,1.199
548766,2.484
548767,3.861
548781,22.447
548782,22.458
548887,0.014
548888,0.021
548889,0.013
548890,0.06
548891,0.176
548892,0.532
548893,1.373
548894,2.761
548895,4.248
548896,5.197
548909,23.402
548910,23.278
549015,0.007
549016,0.02
549017,0.014
549018,0.066
549019,0.201
549020,0.462
549021,1.14
549022,2.403
549023,3.62
549024,4.394
549025,5.003
549036,22.707
549037,22.962
549038,22.918
549145,0.029
549146,0.034
549147,0.154
549148,0.438
549149,1.043
549150,1.991
549151,2.817
549276,0.39
549277,0.977
549278,1.901
549279,2.767
564784,23.533
564785,23.467
564786,23.118
564787,22.84
564912,23.506
564913,23.624
564914,23.064
564915,22.444
564916,21.651
564918,21.535
564919,21.741
564920,21.366
565021,1.061
565022,2.211
565023,3.508
565038,23.25
565039,23.283
565040,22.97
565041,23.232
565042,22.54
565043,22.083
565044,21.49
565046,21.421
565047,21.281
565048,20.655
565049,20.035
565050,18.862
565144,0.006
565145,0.014
565146,0.032
565147,0.133
565148,0.412
565149,1.264
565150,2.6
565151,4.217
565156,12.841
565157,16.549
565158,18.442
565159,19.359
565160,20.424
565161,21.298
565165,23.649
565166,23.711
565167,23.646
565168,23.3
565169,22.961
565170,22.574
565171,22.087
565172,21.917
565173,21.834
565174,21.977
565175,21.68
565176,21.014
565177,20.118
565178,19.038
565270,0.013
565271,0.005
565272,0.008
565273,0.015
565274,0.026
565275,0.191
565276,0.526
565277,1.381
565278,2.952
565279,4.636
565280,5.76
565281,6.367
565282,7.126
565283,9.123
565284,12.835
565285,16.763
565286,18.842
565287,19.929
565288,21.366
565289,22.142
565293,24.138
565294,24.285
565295,23.856
565296,23.757
565297,23.282
565298,22.695
565299,22.304
565301,22.059
565302,22.187
565303,22.042
565304,21.579
565305,20.566
565306,19.577
565398,0.028
565399,0.003
565400,0.017
565401,0.014
565402,0.031
565403,0.135
565404,0.462
565405,1.206
565406,2.547
565407,4.023
565408,4.955
565409,5.493
565410,6.333
565411,8.516
565412,12.366
565413,16.285
565414,18.26
565415,19.401
565416,20.505
565420,23.34
565421,23.515
565422,23.818
565423,23.703
565424,23.499
565425,23.053
565426,22.538
565429,21.992
565430,21.99
565431,21.854
565432,21.604
565433,20.924
565434,19.558
565527,0.017
565528,0.009
565529,0.013
565530,0.04
565531,0.127
565532,0.428
565533,1.005
565534,2.044
565535,3.086
565536,3.929
565537,4.369
565540,11.251
565541,14.959
565542,17.11
565543,17.772
565544,18.539
565549,22.401
565550,22.418
565552,22.585
565553,22.27
565554,21.797
565558,21.064
565559,20.965
565560,20.821
565561,20.446
565562,19.555
565659,0.104
565660,0.346
565661,0.904
565662,1.841
565663,2.78
565664,3.474
565681,21.626
565682,21.491
565683,20.713
565686,20.805
565687,20.345
565688,20.372
565689,20.17
565809,22.569
565810,22.072
565811,21.882
565814,21.571
565815,21.613
565816,21.402
581040,25.799
581041,26.157
581042,26.728
581043,27.83
581044,29.308
581045,30.204
581046,29.895
581047,28.936
581159,21.107
581160,22.795
581161,24.217
581162,25.037
581163,25.257
581164,25.412
581167,26.375
581168,26.762
581169,27.003
581170,27.195
581171,27.3
581172,27.995
581173,28.57
581174,29.114
581175,28.912
581176,28.157
581177,27.167
581178,26.384
581280,4.094
581286,20.454
581287,22.305
581288,23.963
581289,24.767
581290,24.946
581291,24.983
581292,25.01
581294,25.9
581295,26.292
581296,26.701
581297,26.946
581298,26.517
581299,26.203
581300,26.182
581301,26.28
581302,27.2
581303,27.723
581304,27.522
581305,26.588
581306,25.515
581307,24.784
581402,0.017
581403,0.121
581404,0.391
581405,1.03
581406,2.295
581407,3.606
581408,4.956
581409,5.909
581411,9.735
581412,14.215
581413,18.773
581414,21.408
581415,22.586
581416,23.537
581417,23.823
581418,24.04
581419,24.331
581420,24.496
581421,24.714
581422,24.885
581423,25.424
581424,25.46
581425,25.541
581426,25.229
581427,25.031
581428,24.513
581429,25.004
581430,25.389
581431,25.723
581432,25.317
581433,24.524
581434,23.618
581435,22.683
581436,21.63
581524,0.0
581525,0.002
581526,0.003
581527,0.017
581528,0.016
581529,0.012
581530,0.032
581531,0.17
581532,0.426
581533,1.26
581534,2.698
581535,4.456
581536,5.788
581537,6.753
581539,10.408
581540,15.105
581541,19.398
581542,21.774
581543,22.521
581544,23.018
581545,23.587
581546,23.969
581547,24.134
581548,24.381
581549,24.431
581550,24.467
581551,24.536
581552,24.523
581553,24.525
581554,24.4
581555,24.532
581556,24.424
581557,24.371
581558,24.435
581559,24.444
581560,24.01
581561,23.202
581562,22.083
581563,21.046
581564,19.62
581652,0.005
581653,0.006
581654,0.011
581655,0.016
581656,0.022
581657,0.023
581658,0.023
581659,0.144
581660,0.5
581661,1.383
581662,2.97
581663,4.85
581664,6.038
581665,6.803
581666,7.947
581667,10.461
581668,15.452
581669,19.864
581670,22.16
581671,22.92
581672,23.302
581673,23.701
581674,24.283
581675,24.491
581676,24.773
581677,24.626
581678,24.596
581679,24.605
581680,24.604
581681,24.513
581682,24.423
581683,24.4
581684,24.337
581685,24.255
581686,24.096
581687,23.983
581688,23.592
581689,22.994
581690,22.054
581691,20.764
581692,19.232
581693,18.075
581780,0.01
581781,0.014
581782,0.011
581783,0.013
581784,0.027
581785,0.015
581786,0.038
581787,0.152
581788,0.47
581789,1.24
581790,2.623
581791,4.28
581792,5.442
581793,6.136
581794,7.187
581795,10.068
581796,15.001
581797,19.46
581798,21.654
581799,22.483
581800,22.805
581801,23.45
581802,23.72
581803,24.104
581804,24.181
581805,24.257
581806,24.256
581807,24.296
581808,24.479
581809,24.359
581810,24.277
581811,24.154
581812,24.088
581813,24.002
581814,23.934
581815,23.9
581816,23.726
581817,23.116
581818,22.468
581819,21.093
581820,19.412
581910,0.023
581911,0.011
581912,0.01
581913,0.017
581914,0.026
581915,0.118
581916,0.393
581917,1.033
581918,2.149
581919,3.365
581920,4.285
581921,4.86
581923,8.997
581924,13.911
581925,18.306
581926,20.441
581927,21.256
581928,21.926
581929,22.394
581930,23.027
581931,23.376
581932,23.5
581933,23.828
581934,24.005
581935,23.92
581936,24.121
581937,24.231
581938,24.075
581939,24.07
581940,24.02
581941,23.805
581942,23.863
581943,23.651
581944,23.581
581945,23.348
581946,22.858
581947,22.016
581948,20.513
582042,0.035
582043,0.106
582044,0.357
582045,0.857
582046,1.854
582047,2.872
582048,3.587
582049,4.106
582052,12.293
582053,16.651
582054,19.109
582055,20.168
582056,21.343
582057,21.973
582058,22.568
582059,22.843
582060,23.071
582062,23.66
582063,24.076
582064,24.523
582065,24.696
582066,24.742
582067,24.607
582068,24.344
582069,24.348
582070,24.354
582071,23.869
582072,23.92
582073,23.734
582074,23.587
582075,23.014
582076,21.672
582175,2.433
582182,20.183
582183,21.592
582184,22.46
582185,23.204
582186,23.902
582187,24.127
582191,26.435
582192,27.278
582193,27.442
582194,27.343
582195,27.148
582196,26.651
582197,26.286
582198,26.084
582199,25.886
582200,25.2
582201,24.885
582202,24.669
582203,23.953
582319,27.822
582320,29.015
582321,28.845
582322,28.573
582323,28.349
582324,27.541
582325,27.068
582326,26.826
582327,26.616
582328,26.089
582329,25.797
582330,25.607
597162,22.448
597163,23.11
597164,23.944
597168,28.026
597287,21.161
597288,22.568
597289,23.81
597290,24.903
597291,26.163
597292,26.848
597293,27.378
597296,31.174
597297,31.894
597298,32.158
597299,34.13
597300,35.718
597301,36.61
597302,36.478
597303,35.691
597304,34.104
597414,21.63
597415,23.487
597416,24.71
597417,26.11
597418,27.709
597419,28.869
597420,29.269
597421,29.461
597422,29.881
597423,30.874
597424,31.152
597425,31.524
597426,33.204
597427,35.737
597428,37.217
597429,38.127
597430,37.21
597431,35.93
597432,34.293
597433,33.237
597434,31.911
597435,30.747
597537,3.928
597541,19.27
597542,22.722
597543,24.798
597544,26.193
597545,27.177
597546,27.976
597547,28.482
597548,28.613
597549,28.931
597550,29.105
597551,29.356
597552,29.518
597553,30.282
597554,30.842
597555,31.991
597556,33.534
597557,34.851
597558,34.918
597559,34.187
597560,33.338
597561,32.237
597562,31.218
597563,30.375
597564,29.082
597660,0.344
597661,0.883
597662,1.92
597663,3.168
597664,4.244
597665,5.137
597666,6.466
597667,9.783
597668,15.61
597669,20.849
597670,24.011
597671,25.126
597672,26.541
597673,26.832
597674,26.776
597675,27.045
597676,27.405
597677,27.586
597678,27.868
597679,27.94
597680,28.078
597681,28.241
597682,28.196
597683,28.565
597684,29.44
597685,30.586
597686,31.626
597687,31.925
597688,31.298
597689,30.579
597690,29.736
597691,29.237
597692,28.234
597693,27.201
597782,0.011
597783,0.008
597784,0.014
597785,0.034
597786,0.037
597787,0.156
597788,0.346
597789,1.046
597790,2.237
597791,3.813
597792,5.231
597793,6.454
597794,7.865
597795,11.212
597796,16.879
597797,21.429
597798,23.797
597799,24.58
597800,25.167
597801,25.328
597802,25.395
597803,25.47
597804,25.744
597805,25.804
597806,25.996
597807,26.254
597808,26.088
597809,26.116
597810,26.11
597811,26.096
597812,26.651
597813,27.545
597814,28.904
597815,29.567
597816,28.913
597817,28.336
597818,27.721
597819,27.163
597820,26.317
597821,25.62
597907,0.005
597908,0.008
597909,0.007
597910,0.011
597911,0.011
597912,0.014
597913,0.015
597914,0.045
597915,0.071
597916,0.429
597917,1.193
597918,2.723
597919,4.634
597920,6.151
597921,7.102
597922,8.46
597923,11.561
597924,16.697
597925,21.043
597926,23.159
597927,24.011
597928,24.33
597929,24.751
597930,24.664
597931,24.851
597932,24.884
597933,25.016
597934,25.04
597935,25.198
597936,25.147
597937,25.268
597938,25.079
597939,25.026
597940,25.394
597941,25.767
597942,26.624
597943,26.788
597944,26.549
597945,25.898
597946,25.261
597947,24.497
597948,23.677
597949,22.62
598032,0.003
598034,0.0
598035,0.004
598036,0.008
598037,0.009
598038,0.02
598039,0.014
598040,0.013
598041,0.014
598042,0.024
598043,0.166
598044,0.455
598045,1.3
598046,2.92
598047,4.942
598048,6.339
598049,7.163
598050,8.454
598051,11.526
598052,16.857
598053,21.034
598054,23.168
598055,24.002
598056,24.377
598057,24.581
598058,24.673
598059,24.614
598060,24.684
598061,24.791
598062,24.797
598063,25.06
598064,25.183
598065,25.203
598066,25.092
598067,25.046
598068,24.983
598069,24.947
598070,25.22
598071,25.268
598072,24.839
598073,24.589
598074,24.007
598075,23.051
598076,22.034
598077,21.012
598078,19.914
598163,0.009
598164,0.003
598165,0.01
598166,0.019
598167,0.019
598168,0.016
598169,0.019
598170,0.043
598171,0.125
598172,0.432
598173,1.262
598174,2.714
598175,4.561
598176,5.847
598177,6.611
598178,7.963
598179,11.115
598180,16.474
598181,20.843
598182,23.001
598183,23.601
598184,24.069
598185,24.242
598186,24.302
598187,24.382
598188,24.656
598189,24.574
598190,24.725
598191,24.848
598192,25.064
598193,25.171
598194,25.056
598195,25.105
598196,24.966
598197,24.932
598198,24.87
598199,24.861
598200,24.757
598201,24.673
598202,24.513
598203,23.919
598204,22.636
598205,21.423
598206,19.952
598293,0.009
598294,0.007
598295,0.004
598296,0.016
598297,0.023
598298,0.018
598299,0.124
598300,0.353
598301,0.963
598302,2.226
598303,3.595
598304,4.641
598305,5.418
598306,6.819
598307,10.228
598308,15.823
598309,20.195
598310,22.177
598311,23.049
598312,23.442
598313,23.713
598314,23.986
598315,24.159
598316,24.302
598317,24.534
598318,24.717
598319,25.307
598320,25.351
598321,25.594
598322,25.527
598323,25.449
598324,25.373
598325,25.211
598326,25.044
598327,24.946
598328,24.988
598329,25.33
598330,25.765
598331,25.598
598332,24.57
598333,23.024
598426,0.019
598427,0.046
598428,0.319
598429,0.844
598430,1.749
598431,2.859
598432,3.749
598433,4.402
598434,5.704
598435,9.355
598436,15.141
598437,19.659
598438,21.941
598439,22.731
598440,23.244
598441,23.666
598442,24.263
598443,24.367
598444,24.671
598445,24.842
598446,25.663
598447,26.601
598448,27.358
598449,27.802
598450,27.584
598451,27.516
598452,27.026
598453,26.843
598454,26.539
598455,26.388
598456,26.391
598457,26.707
598458,27.161
598459,26.872
598460,25.885
598461,24.124
598559,2.204
598560,2.886
598561,3.623
598562,5.118
598564,15.336
598565,20.679
598566,23.317
598567,24.26
598568,24.991
598569,25.712
598570,26.386
598571,26.691
598572,26.785
598573,27.12
598574,28.541
598575,30.518
598576,31.768
598577,31.964
598578,31.909
598579,31.606
598580,30.846
598581,30.218
598582,29.863
598583,29.691
598584,29.282
598585,29.271
598586,29.366
598587,28.668
598588,27.172
598589,25.379
598693,20.059
598694,22.735
598695,24.071
598696,24.859
598697,25.871
598698,26.921
598699,27.612
598700,28.643
598701,29.985
598702,31.671
598703,33.778
598704,34.396
598705,34.497
598706,34.257
598707,34.005
598708,33.259
598709,32.635
598710,32.496
598711,32.334
598712,31.725
598713,31.271
598714,30.67
598715,29.99
598716,28.64
598823,21.652
598824,22.279
598825,23.335
598826,24.024
598827,25.737
598828,27.595
598830,31.003
598831,32.722
598832,33.229
598833,32.547
598834,32.521
598835,32.604
598836,32.025
598837,31.793
598838,31.989
598839,32.261
598840,31.907
598841,31.139
598842,30.14
598953,20.159
598954,21.718
598955,22.299
598959,28.461
598960,29.495
598961,29.182
598962,28.876
598964,28.908
598965,28.712
598966,29.431
613281,0.546
613282,1.173
613283,3.104
613284,6.552
613285,9.454
613286,11.445
613288,18.584
613407,0.135
613408,0.294
613409,0.65
